title,genre,actors_list
Captain America: The Winter Soldier,Action,"[u'Chris Evans', u'Samuel L. Jackson', u'Scarlett Johansson']"
Apocalypto,Action,"[u'Gerardo Taracena', u'Raoul Trujillo', u'Dalia Hern\xe1ndez']"
The Dirty Dozen,Action,"[u'Lee Marvin', u'Ernest Borgnine', u'Charles Bronson']"
X-Men: First Class,Action,"[u'James McAvoy', u'Michael Fassbender', u'Jennifer Lawrence']"
Run Lola Run,Action,"[u'Franka Potente', u'Moritz Bleibtreu', u'Herbert Knaup']"
The Longest Day,Action,"[u'John Wayne', u'Robert Ryan', u'Richard Burton']"
The Fugitive,Action,"[u'Harrison Ford', u'Tommy Lee Jones', u'Sela Ward']"
Kung Fu Hustle,Action,"[u'Stephen Chow', u'Wah Yuen', u'Qiu Yuen']"
Goldfinger,Action,"[u'Sean Connery', u'Gert Fr\xf6be', u'Honor Blackman']"
The Bourne Supremacy,Action,"[u'Matt Damon', u'Franka Potente', u'Joan Allen']"
Skyfall,Action,"[u'Daniel Craig', u'Javier Bardem', u'Naomie Harris']"
300,Action,"[u'Gerard Butler', u'Lena Headey', u'David Wenham']"
Battle Royale,Action,"[u'Tatsuya Fujiwara', u'Aki Maeda', u'Tar\xf4 Yamamoto']"
Man on Fire,Action,"[u'Denzel Washington', u'Christopher Walken', u'Dakota Fanning']"
Star Trek II: The Wrath of Khan,Action,"[u'William Shatner', u'Leonard Nimoy', u'DeForest Kelley']"
The Count of Monte Cristo,Action,"[u'Jim Caviezel', u'Guy Pearce', u'Richard Harris']"
Kick-Ass,Action,"[u'Aaron Taylor-Johnson', u'Nicolas Cage', u'Chlo\xeb Grace Moretz']"
Enter the Dragon,Action,"[u'Bruce Lee', u'John Saxon', u'Jim Kelly']"
The Last Samurai,Action,"[u'Tom Cruise', u'Ken Watanabe', u'Billy Connolly']"
Forbidden Planet,Action,"[u'Walter Pidgeon', u'Anne Francis', u'Leslie Nielsen']"
Dawn of the Planet of the Apes,Action,"[u'Gary Oldman', u'Keri Russell', u'Andy Serkis']"
The Warriors,Action,"[u'Michael Beck', u'James Remar', u'Dorsey Wright']"
Where Eagles Dare,Action,"[u'Richard Burton', u'Clint Eastwood', u'Mary Ure']"
Fearless,Action,"[u'Jet Li', u'Li Sun', u'Yong Dong']"
Star Wars: Episode III - Revenge of the Sith,Action,"[u'Hayden Christensen', u'Natalie Portman', u'Ewan McGregor']"
Grindhouse,Action,"[u'Kurt Russell', u'Rose McGowan', u'Danny Trejo']"
Kiss Kiss Bang Bang,Action,"[u'Robert Downey Jr.', u'Val Kilmer', u'Michelle Monaghan']"
Fury,Action,"[u'Brad Pitt', u'Shia LaBeouf', u'Logan Lerman']"
The Big Blue,Action,"[u'Jean-Marc Barr', u'Jean Reno', u'Rosanna Arquette']"
First Blood,Action,"[u'Sylvester Stallone', u'Brian Dennehy', u'Richard Crenna']"
Minority Report,Action,"[u'Tom Cruise', u'Colin Farrell', u'Samantha Morton']"
Kelly's Heroes,Action,"[u'Clint Eastwood', u'Telly Savalas', u'Don Rickles']"
The Fifth Element,Action,"[u'Bruce Willis', u'Milla Jovovich', u'Gary Oldman']"
United 93,Action,"[u'David Alan Basche', u'Olivia Thirlby', u'Liza Col\xf3n-Zayas']"
Watchmen,Action,"[u'Jackie Earle Haley', u'Patrick Wilson', u'Carla Gugino']"
The Legend of Drunken Master,Action,"[u'Jackie Chan', u'Ho-Sung Pak', u'Lung Ti']"
Lethal Weapon,Action,"[u'Mel Gibson', u'Danny Glover', u'Gary Busey']"
Sherlock Holmes,Action,"[u'Robert Downey Jr.', u'Jude Law', u'Rachel McAdams']"
The Crow,Action,"[u'Brandon Lee', u'Michael Wincott', u'Rochelle Davis']"
The Blind Swordsman: Zatoichi,Action,"[u'Takeshi Kitano', u'Tadanobu Asano', u'Yui Natsukawa']"
The Raid: Redemption,Action,"[u'Iko Uwais', u'Ananda George', u'Ray Sahetapy']"
Mad Max 2: The Road Warrior,Action,"[u'Mel Gibson', u'Bruce Spence', u'Michael Preston']"
Jusan-nin no shikaku,Action,"[u'K\xf4ji Yakusho', u'Takayuki Yamada', u'Y\xfbsuke Iseya']"
The Hunt for Red October,Action,"[u'Sean Connery', u'Alec Baldwin', u'Scott Glenn']"
Lone Survivor,Action,"[u'Mark Wahlberg', u'Taylor Kitsch', u'Emile Hirsch']"
Escape from Alcatraz,Action,"[u'Clint Eastwood', u'Patrick McGoohan', u'Roberts Blossom']"
Indiana Jones and the Temple of Doom,Action,"[u'Harrison Ford', u'Kate Capshaw', u'Jonathan Ke Quan']"
Ip Man 2,Action,"[u'Donnie Yen', u'Xiaoming Huang', u'Sammo Kam-Bo Hung']"
"It's a Mad, Mad, Mad, Mad World",Action,"[u'Spencer Tracy', u'Milton Berle', u'Ethel Merman']"
Die Hard: With a Vengeance,Action,"[u'Bruce Willis', u'Jeremy Irons', u'Samuel L. Jackson']"
Midnight Run,Action,"[u'Robert De Niro', u'Charles Grodin', u'Yaphet Kotto']"
